key;labels;storypoints;timespent
TASK-0212;['LABEL-05', 'LABEL-06', 'LABEL-15', 'LABEL-16', 'LABEL-17'];4.0;66600.0
TASK-0213;[];3.0;54000.0
TASK-0214;[];0.5;3600.0
TASK-0215;[];3.0;63000.0
TASK-0216;['LABEL-06'];4.0;54000.0
TASK-0217;[];1.0;25200.0
TASK-0218;[];2.0;61200.0
TASK-0219;[];0.5;16200.0
TASK-0220;['LABEL-02'];1.0;77400.0
TASK-0221;[];1.0;18000.0
TASK-0222;['LABEL-05', 'LABEL-06', 'LABEL-04'];2.0;12600.0
TASK-0223;None;None;None
TASK-0224;['LABEL-12'];0.5;12600.0
TASK-0225;None;None;None
TASK-0226;[];3.0;None
TASK-0227;[];0.5;3600.0
TASK-0228;[];3.0;54000.0
TASK-0229;['LABEL-05'];2.0;86400.0
TASK-0230;[];3.0;16200.0
TASK-0231;[];0.5;14400.0
TASK-0232;[];5.0;None
TASK-0233;[];1.0;None
TASK-0234;['LABEL-10', 'LABEL-11', 'LABEL-18', 'LABEL-19', 'LABEL-05'];3.0;108000.0
TASK-0235;[];3.0;43200.0
TASK-0236;[];1.0;25200.0
TASK-0237;[];1.0;14400.0
TASK-0238;[];3.0;81000.0
TASK-0239;[];1.0;27000.0
TASK-0240;[];None;None
TASK-0241;[];3.0;3600.0
TASK-0242;[];3.0;50400.0
TASK-0243;[];1.0;50400.0
TASK-0244;[];3.0;None
TASK-0245;[];5.0;126000.0
TASK-0246;[];5.0;None
TASK-0247;[];5.0;81000.0
TASK-0248;['LABEL-05', 'LABEL-20', 'LABEL-16'];3.0;79200.0
TASK-0249;[];3.0;68400.0
TASK-0250;[];1.0;28800.0
TASK-0251;[];4.0;None
TASK-0252;[];3.0;97200.0
TASK-0253;['LABEL-06'];0.5;12600.0
TASK-0254;[];3.0;54000.0
TASK-0255;[];1.0;None
TASK-0256;[];2.0;28800.0
TASK-0257;[];1.0;3600.0
TASK-0258;[];1.0;14400.0
TASK-0259;[];3.0;54000.0
TASK-0260;[];3.0;None
TASK-0261;None;None;None
TASK-0262;['LABEL-06'];3.0;72000.0
TASK-0263;['LABEL-06'];4.0;54000.0
TASK-0264;[];2.0;32400.0
TASK-0265;['LABEL-02'];1.0;10800.0
TASK-0266;[];3.0;36000.0
TASK-0267;[];3.0;131400.0
TASK-0268;['LABEL-06'];3.0;7200.0
TASK-0269;None;None;None
TASK-0270;[];5.0;3600.0
TASK-0271;[];5.0;81000.0
TASK-0272;[];2.0;14400.0
TASK-0273;[];5.0;81000.0
TASK-0274;[];3.0;122400.0
TASK-0275;[];3.0;81000.0
TASK-0276;['LABEL-06'];0.5;36000.0
TASK-0277;[];3.0;54000.0
TASK-0278;[];5.0;104400.0
TASK-0279;[];2.0;43200.0
TASK-0280;None;None;None
TASK-0281;[];3.0;72000.0
TASK-0282;['LABEL-02'];2.0;54000.0
TASK-0283;[];3.0;36000.0
TASK-0284;['LABEL-06'];4.0;28800.0
TASK-0285;[];3.0;28800.0
TASK-0286;[];1.0;None
TASK-0287;[];5.0;118800.0
TASK-0288;['LABEL-02'];4.0;104400.0
TASK-0289;['LABEL-06'];3.0;54000.0
TASK-0290;[];2.0;39600.0
TASK-0291;['LABEL-06'];4.0;25200.0
TASK-0292;[];5.0;27000.0
TASK-0293;[];4.0;153000.0
TASK-0294;[];5.0;81000.0
TASK-0295;[];2.0;75600.0
TASK-0296;None;None;None
TASK-0297;[];1.0;10800.0
TASK-0298;[];None;None
TASK-0299;[];None;None
TASK-0300;[];3.0;48600.0
TASK-0301;[];None;None
TASK-0302;['LABEL-02'];None;32400.0
TASK-0303;[];2.0;90000.0
TASK-0304;None;None;None
TASK-0305;[];3.0;50400.0
TASK-0306;[];5.0;None
TASK-0307;[];3.0;21600.0
TASK-0308;[];5.0;54000.0
TASK-0309;[];5.0;68400.0
TASK-0310;['LABEL-06'];4.0;165600.0
TASK-0311;[];2.0;25200.0
TASK-0312;[];3.0;54000.0
TASK-0313;None;None;None
TASK-0314;['LABEL-02'];3.0;82800.0
TASK-0315;[];1.0;25200.0
TASK-0316;[];3.0;None
TASK-0317;['LABEL-06'];3.0;108000.0
TASK-0318;[];None;61200.0
TASK-0319;[];3.0;54000.0
TASK-0320;[];3.0;72000.0
TASK-0321;[];3.0;None
TASK-0322;['LABEL-02'];4.0;86400.0
TASK-0323;[];3.0;54000.0
TASK-0324;[];1.0;None
TASK-0325;[];None;None
TASK-0326;[];3.0;72000.0
TASK-0327;[];4.0;100800.0
TASK-0328;[];3.0;194400.0
TASK-0329;[];2.0;63000.0
TASK-0330;[];4.0;90000.0
TASK-0331;['LABEL-06'];3.0;316800.0
TASK-0332;[];0.5;25200.0
TASK-0333;[];5.0;162000.0
TASK-0334;['LABEL-02'];None;1800.0
TASK-0335;[];3.0;52200.0
TASK-0336;['LABEL-02'];1.0;10800.0
TASK-0337;[];1.0;28800.0
TASK-0338;[];2.0;32400.0
TASK-0339;[];3.0;54000.0
